voter,rank,title,author
Julie Myerson,2,Beloved,Toni Morrison
Siri Hustvedt,2,Beloved,Toni Morrison
Adam Roberts,2,Beloved,Toni Morrison
Candice Carty Williams,2,Beloved,Toni Morrison
Yagnishsing Dawoor,2,Beloved,Toni Morrison
Lorrie Moore,2,Beloved,Toni Morrison
Jacqueline Rose,2,Beloved,Toni Morrison
Douglas Stuart,2,Beloved,Toni Morrison
Katherine Rundell,2,Beloved,Toni Morrison
Natasha Walter,2,Beloved,Toni Morrison
Rebecca Liu,2,Beloved,Toni Morrison
Claire Messud,2,Beloved,Toni Morrison
Uzma Aslam Khan,2,Beloved,Toni Morrison
Ali Smith,2,Beloved,Toni Morrison
Sophie Mackintosh,2,Beloved,Toni Morrison
Justine Jordan,2,Beloved,Toni Morrison
Susanna Rustin,2,Beloved,Toni Morrison
Sara Collins,2,Beloved,Toni Morrison
Tahmima Anam,2,Beloved,Toni Morrison
Lisa Allardice,2,Beloved,Toni Morrison
Arifa Akbar,2,Beloved,Toni Morrison
Aida Edemariam,2,Beloved,Toni Morrison
Charlotte Northedge,2,Beloved,Toni Morrison
Ella Creamer,2,Beloved,Toni Morrison
Liese Spencer,2,Beloved,Toni Morrison
Damian Barr,2,Beloved,Toni Morrison
Lily King,2,Beloved,Toni Morrison
Lauren Elkin,2,Beloved,Toni Morrison
Daisy Johnson,2,Beloved,Toni Morrison
Maggie O’Farrell,3,Ulysses,James Joyce
Merve Emre,3,Ulysses,James Joyce
Jon Day,3,Ulysses,James Joyce
Alberto Manguel,3,Ulysses,James Joyce
Eimear McBride,3,Ulysses,James Joyce
Salman Rushdie,3,Ulysses,James Joyce
Chris Power,3,Ulysses,James Joyce
Yan Lianke,3,Ulysses,James Joyce
Blake Morrison,3,Ulysses,James Joyce
Melissa Harrison,3,Ulysses,James Joyce
Anne Enright,3,Ulysses,James Joyce
John Mullan,3,Ulysses,James Joyce
William Boyd,3,Ulysses,James Joyce
Siri Hustvedt,3,Ulysses,James Joyce
Claire Armitstead,3,Ulysses,James Joyce
Jacqueline Rose,3,Ulysses,James Joyce
Colum McCann,3,Ulysses,James Joyce
Jeet Thayil,3,Ulysses,James Joyce
Kevin Power,3,Ulysses,James Joyce
Elif Shafak,3,Ulysses,James Joyce
Sinéad Gleeson,3,Ulysses,James Joyce
Valeria Luiselli,3,Ulysses,James Joyce
Guy Gunaratne,3,Ulysses,James Joyce
Colm Tóibín,3,Ulysses,James Joyce
