voter,rank,title,author
John Mullan,35,Great Expectations,Charles Dickens
Geoff Dyer,35,Great Expectations,Charles Dickens
Ahdaf Soueif,35,Great Expectations,Charles Dickens
Laura Wilson,35,Great Expectations,Charles Dickens
Liese Spencer,35,Great Expectations,Charles Dickens
Elizabeth Day,35,Great Expectations,Charles Dickens
Fiona Sturges,36,The Handmaid's Tale,Margaret Atwood
Anne Enright,36,The Handmaid's Tale,Margaret Atwood
Beejay Silcox,36,The Handmaid's Tale,Margaret Atwood
Sian Cain,36,The Handmaid's Tale,Margaret Atwood
Lisa Tuttle,36,The Handmaid's Tale,Margaret Atwood
Sara Collins,36,The Handmaid's Tale,Margaret Atwood
Lisa Allardice,36,The Handmaid's Tale,Margaret Atwood
Arifa Akbar,36,The Handmaid's Tale,Margaret Atwood
Charlotte Northedge,36,The Handmaid's Tale,Margaret Atwood
Merve Emre,37,Invisible Man,Ralph Ellison
Sandra Newman,37,Invisible Man,Ralph Ellison
Rachel Kushner,37,Invisible Man,Ralph Ellison
Derek Owusu,37,Invisible Man,Ralph Ellison
Jennifer Egan,37,Invisible Man,Ralph Ellison
Xan Brooks,37,Invisible Man,Ralph Ellison
Alex Clark,37,Invisible Man,Ralph Ellison
Sara Collins,37,Invisible Man,Ralph Ellison
Ben Okri,37,Invisible Man,Ralph Ellison
Salman Rushdie,38,The Age of Innocence,Edith Wharton
Sandra Newman,38,The Age of Innocence,Edith Wharton
Jude Cook,38,The Age of Innocence,Edith Wharton
Roxane Gay,38,The Age of Innocence,Edith Wharton
Sian Cain,38,The Age of Innocence,Edith Wharton
Geoff Dyer,38,The Age of Innocence,Edith Wharton
Melissa Broder,38,The Age of Innocence,Edith Wharton
Colm Tóibín,38,The Age of Innocence,Edith Wharton
Dorian Lynskey,38,The Age of Innocence,Edith Wharton
Nikesh Shukla,39,Their Eyes Were Watching God,Zora Neale Hurston
Bernardine Evaristo,39,Their Eyes Were Watching God,Zora Neale Hurston
Lara Feigel,39,Their Eyes Were Watching God,Zora Neale Hurston
Jacqueline Rose,39,Their Eyes Were Watching God,Zora Neale Hurston
Sinéad Gleeson,39,Their Eyes Were Watching God,Zora Neale Hurston
Ella Creamer,39,Their Eyes Were Watching God,Zora Neale Hurston
Emma Loffhagen,39,Their Eyes Were Watching God,Zora Neale Hurston
Damian Barr,39,Their Eyes Were Watching God,Zora Neale Hurston
Colum McCann,40,Song of Solomon,Toni Morrison
Guy Gunaratne,40,Song of Solomon,Toni Morrison
Dinah Birch,40,Song of Solomon,Toni Morrison
Diana Evans,40,Song of Solomon,Toni Morrison
Maaza Mengiste,40,Song of Solomon,Toni Morrison
Ian Rankin,40,Song of Solomon,Toni Morrison
Naoise Dolan,40,Song of Solomon,Toni Morrison
Sam Leith,41,Heart of Darkness,Joseph Conrad
Juan Gabriel Vasquez,41,Heart of Darkness,Joseph Conrad
Chloe Aridjis,41,Heart of Darkness,Joseph Conrad
Derek Owusu,41,Heart of Darkness,Joseph Conrad
Kevin Power,41,Heart of Darkness,Joseph Conrad
Maya Jasanoff,41,Heart of Darkness,Joseph Conrad
Dorian Lynskey,41,Heart of Darkness,Joseph Conrad
Eimear McBride,42,The Magic Mountain,Thomas Mann
Pratinav Anil,42,The Magic Mountain,Thomas Mann
Chloe Aridjis,42,The Magic Mountain,Thomas Mann
Daniel Kehlmann,42,The Magic Mountain,Thomas Mann
Sarah Bakewell,42,The Magic Mountain,Thomas Mann
Ian McEwan,42,The Magic Mountain,Thomas Mann
James Meek,42,The Magic Mountain,Thomas Mann
Merve Emre,43,Housekeeping,Marilynne Robinson
Sarah Waters,43,Housekeeping,Marilynne Robinson
Yiyun Li,43,Housekeeping,Marilynne Robinson
Joe Dunthorne,43,Housekeeping,Marilynne Robinson
Kieran Goddard,43,Housekeeping,Marilynne Robinson
David Nicholls,43,Housekeeping,Marilynne Robinson
Liese Spencer,43,Housekeeping,Marilynne Robinson
Benjamin Myers,44,Giovanni's Room,James Baldwin
Charlotte Mendelson,44,Giovanni's Room,James Baldwin
Richard Osman,44,Giovanni's Room,James Baldwin
Guy Gunaratne,44,Giovanni's Room,James Baldwin
Sophie Mackintosh,44,Giovanni's Room,James Baldwin
Damian Barr,44,Giovanni's Room,James Baldwin
Naoise Dolan,44,Giovanni's Room,James Baldwin
Lara Feigel,45,The Golden Notebook,Doris Lessing
Natasha Walter,45,The Golden Notebook,Doris Lessing
Lisa Tuttle,45,The Golden Notebook,Doris Lessing
Rebecca Liu,45,The Golden Notebook,Doris Lessing
Alex Needham,45,The Golden Notebook,Doris Lessing
Alex Clark,45,The Golden Notebook,Doris Lessing
Saba Sams,45,The Golden Notebook,Doris Lessing
Tanjll Rashid,46,The Leopard,Giuseppe Tomasi di Lampedusa
Christobel Kent,46,The Leopard,Giuseppe Tomasi di Lampedusa
Olivia Laing,46,The Leopard,Giuseppe Tomasi di Lampedusa
Ahdaf Soueif,46,The Leopard,Giuseppe Tomasi di Lampedusa
David Shariatmadari,46,The Leopard,Giuseppe Tomasi di Lampedusa
John Lanchester,46,The Leopard,Giuseppe Tomasi di Lampedusa
Amanda Craig,47,Vanity Fair,William Makepeace Thackeray
Rishi Dastidar,47,Vanity Fair,William Makepeace Thackeray
Jude Cook,47,Vanity Fair,William Makepeace Thackeray
Christobel Kent,47,Vanity Fair,William Makepeace Thackeray
Charlotte Higgins,47,Vanity Fair,William Makepeace Thackeray
Elizabeth Day,47,Vanity Fair,William Makepeace Thackeray
Alberto Manguel,48,The Metamorphosis,Franz Kafka
Chloe Aridjis,48,The Metamorphosis,Franz Kafka
Candice Carty Williams,48,The Metamorphosis,Franz Kafka
Sayaka Murata,48,The Metamorphosis,Franz Kafka
Elif Shafak,48,The Metamorphosis,Franz Kafka
Ian McEwan,48,The Metamorphosis,Franz Kafka
Amanda Craig,49,A Fine Balance,Rohinton Mistry
Nadifa Mohamed,49,A Fine Balance,Rohinton Mistry
Roxane Gay,49,A Fine Balance,Rohinton Mistry
Claire Messud,49,A Fine Balance,Rohinton Mistry
Clare Clark,49,A Fine Balance,Rohinton Mistry
Florence Knapp,49,A Fine Balance,Rohinton Mistry
Nadifa Mohamed,50,Wide Sargasso Sea,Jean Rhys
Anne Enright,50,Wide Sargasso Sea,Jean Rhys
Jack Edwards,50,Wide Sargasso Sea,Jean Rhys
Sara Collins,50,Wide Sargasso Sea,Jean Rhys
Jo Hamya,50,Wide Sargasso Sea,Jean Rhys
Saba Sams,50,Wide Sargasso Sea,Jean Rhys
Samantha Ellis,51,My Brilliant Friend,Elena Ferrante
Douglas Stuart,51,My Brilliant Friend,Elena Ferrante
Natasha Walter,51,My Brilliant Friend,Elena Ferrante
Susanna Rustin,51,My Brilliant Friend,Elena Ferrante
Charlotte Northedge,51,My Brilliant Friend,Elena Ferrante
